Year,Code      Age  Both sexes        Male      Female
1980,08    CO    8       42255       21637       20618
1980,08    CO    9       47756       24375       23381
1980,08    CO   10       47819       24504       23315
1980,08    CO   11       46228       23551       22677
1980,08    CO   12       44067       22353       21714
1980,08    CO   13       44319       22459       21860
1980,08    CO   14       45024       22961       22063
1980,08    CO   15       48589       24888       23701
1980,08    CO   16       51113       26111       25002
1980,08    CO   17       52452       26787       25665
1980,08    CO   18       55074       28280       26794
1980,08    CO   19       60195       31052       29143
1980,08    CO   20       60053       30839       29214
1980,08    CO   21       59641       30844       28797
1980,08    CO   22       60267       30799       29468
1980,08    CO   23       61625       31212       30413
1980,08    CO   24       61350       31000       30350
1980,08    CO   25       61937       31473       30464
1980,08    CO   26       61815       31221       30594
1980,08    CO   27       61917       31442       30475
1980,08    CO   28       58205       29504       28701
1980,08    CO   29       61328       31286       30042
1980,08    CO   30       58293       29930       28363
1980,08    CO   31       56337       28682       27655
1980,08    CO   32       55849       28646       27203
1980,08    CO   33       58685       29616       29069
1980,08    CO   34       42568       21688       20880
1980,08    CO   35       42164       21371       20793
1980,08    CO   36       40900       20569       20331
1980,08    CO   37       42036       21191       20845
1980,08    CO   38       36169       18010       18159
1980,08    CO   39       34998       17525       17473
1980,08    CO   40       33336       16676       16660
1980,08    CO   41       31656       15668       15988
1980,08    CO   42       30812       15435       15377
1980,08    CO   43       29748       14949       14799
1980,08    CO   44       29286       14662       14624
1980,08    CO   45       28094       14126       13968
1980,08    CO   46       27666       13867       13799
1980,08    CO   47       27587       13597       13990
1980,08    CO   48       26666       13448       13218
1980,08    CO   49       28114       14117       13997
1980,08    CO   50       27812       13851       13961
1980,08    CO   51       27030       13384       13646
1980,08    CO   52       26774       13038       13736
1980,08    CO   53       26238       12608       13630
1980,08    CO   54       25986       12501       13485
1980,08    CO   55       25796       12286       13510
1980,08    CO   56       25646       12326       13320
1980,08    CO   57       25363       12236       13127
1980,08    CO   58       25131       12071       13060
1980,08    CO   59       24250       11603       12647
1980,08    CO   60       22777       11000       11777
1980,08    CO   61       21560       10384       11176
1980,08    CO   62       20651        9816       10835
1980,08    CO   63       19709        9308       10401
1980,08    CO   64       19159        8989       10170
1980,08    CO   65       18216        8400        9816
1980,08    CO   66       17824        8122        9702
1980,08    CO   67       16801        7424        9377
1980,08    CO   68       16171        7382        8789
1980,08    CO   69       15600        6800        8800
1980,08    CO   70       14534        6323        8211
1980,08    CO   71       13715        6003        7712
1980,08    CO   72       13092        5579        7513
1980,08    CO   73       12066        5122        6944
1980,08    CO   74       11631        4840        6791
1980,08    CO   75       10398        4179        6219
1980,08    CO   76        9925        3998        5927
1980,08    CO   77        9108        3513        5595
1980,08    CO   78        8393        3252        5141
1980,08    CO   79        7543        2885        4658
1980,08    CO   80        7197        2542        4655
1980,08    CO   81        6512        2297        4215
1980,08    CO   82        5629        1847        3782
1980,08    CO   83        5305        1807        3498
1980,08    CO   84        4932        1635        3297
1980,08    CO   85       24685        7391       17294
1980,09    CT    0       39325       20256       19069
1980,09    CT    1       37161       18922       18239
1980,09    CT    2       36300       18451       17849
1980,09    CT    3       36772       18645       18127
1980,09    CT    4       36230       18515       17715
1980,09    CT    5       37316       19261       18055
1980,09    CT    6       36790       18954       17836
1980,09    CT    7       39111       19823       19288
1980,09    CT    8       41567       21224       20343
1980,09    CT    9       48542       25025       23517
1980,09    CT   10       50435       25583       24852
1980,09    CT   11       49421       25152       24269
1980,09    CT   12       49142       25091       24051
1980,09    CT   13       51305       26199       25106
1980,09    CT   14       54268       27677       26591
1980,09    CT   15       57270       29093       28177
1980,09    CT   16       59144       30142       29002
1980,09    CT   17       58702       29891       28811
1980,09    CT   18       56122       28558       27564
1980,09    CT   19       57693       28914       28779
1980,09    CT   20       55209       27408       27801
1980,09    CT   21       55371       27402       27969
1980,09    CT   22       54660       27439       27221
1980,09    CT   23       54522       27242       27280
1980,09    CT   24       53324       26304       27020
1980,09    CT   25       52570       26321       26249
1980,09    CT   26       51296       25382       25914
1980,09    CT   27       50570       24994       25576
1980,09    CT   28       47317       23255       24062
1980,09    CT   29       49687       24389       25298
1980,09    CT   30       48256       23613       24643
1980,09    CT   31       48332       23574       24758
1980,09    CT   32       49840       24256       25584
1980,09    CT   33       55048       26424       28624
1980,09    CT   34       41811       20345       21466
1980,09    CT   35       41881       20407       21474
1980,09    CT   36       42742       20789       21953
1980,09    CT   37       46415       22643       23772
1980,09    CT   38       38642       18801       19841
1980,09    CT   39       36854       18017       18837
1980,09    CT   40       34932       16778       18154
1980,09    CT   41       33578       16321       17257
1980,09    CT   42       33446       16271       17175
1980,09    CT   43       32055       15461       16594
1980,09    CT   44       31753       15484       16269
1980,09    CT   45       31371       15213       16158
1980,09    CT   46       30965       14968       15997
1980,09    CT   47       31757       15350       16407
1980,09    CT   48       31609       15354       16255
1980,09    CT   49       34711       16795       17916
1980,09    CT   50       35024       16873       18151
1980,09    CT   51       34594       16749       17845
1980,09    CT   52       35764       17469       18295
1980,09    CT   53       35829       17378       18451
1980,09    CT   54       35697       17028       18669
1980,09    CT   55       36307       17333       18974
1980,09    CT   56       35818       17071       18747
1980,09    CT   57       35752       17061       18691
1980,09    CT   58       35323       16872       18451
1980,09    CT   59       35062       16696       18366
1980,09    CT   60       33750       16033       17717
1980,09    CT   61       32511       15190       17321
1980,09    CT   62       31453       14556       16897
1980,09    CT   63       30410       14184       16226
1980,09    CT   64       29175       13451       15724
1980,09    CT   65       28431       13153       15278
1980,09    CT   66       26707       12122       14585
1980,09    CT   67       25061       11070       13991
1980,09    CT   68       24197       10694       13503
1980,09    CT   69       22776        9782       12994
1980,09    CT   70       21153        8961       12192
1980,09    CT   71       19847        8368       11479
1980,09    CT   72       19122        7920       11202
1980,09    CT   73       17552        7108       10444
1980,09    CT   74       16401        6375       10026
1980,09    CT   75       15676        6040        9636
1980,09    CT   76       14377        5479        8898
1980,09    CT   77       13141        4845        8296
1980,09    CT   78       12428        4494        7934
1980,09    CT   79       10992        3699        7293
1980,09    CT   80       10217        3451        6766
1980,09    CT   81        9301        2999        6302
1980,09    CT   82        8431        2722        5709
1980,09    CT   83        8089        2616        5473
1980,09    CT   84        7415        2301        5114
1980,09    CT   85       36251       10405       25846
1980,10    DE    0        9032        4673        4359
1980,10    DE    1        8496        4308        4188
1980,10    DE    2        8107        4112        3995
1980,10    DE    3        8038        4114        3924
